"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","FTP Path to Experiment","Library Name","Library Strategy","Library Source","Library Selection"
"SRX824418","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4818.3","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804033","","179.58","1","2464025","497733050","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824418","G4818.3.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824417","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4750.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804035","","146.52","1","2001967","404397334","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824417","G4750.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824416","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5045.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804034","","247.98","1","2168705","438078410","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824416","G5045.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824415","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5466.2","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804032","","69.51","1","607509","122716818","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824415","G5466.2.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824414","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G3889.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804031","","120.01","1","1020683","206177966","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824414","G3889.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824413","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5119.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804029","","218.97","1","2946617","595216634","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824413","G5119.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824412","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5301.3","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804030","","202.44","1","1799286","363455772","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824412","G5301.3.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824411","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5639.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804028","","24.11","1","204023","41212646","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824411","G5639.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824410","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4731.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804026","","209.75","1","2948392","595575184","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824410","G4731.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824409","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G3894.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804027","","135.37","1","1258185","254153370","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824409","G3894.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824408","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4955.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804025","","133.09","1","1704465","344301930","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824408","G4955.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824407","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G3817.2","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804024","","118.06","1","1063764","214880328","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824407","G3817.2.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824406","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G3838.2","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804022","","164.61","1","1448458","292588516","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824406","G3838.2.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824405","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5223.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804023","","234.58","1","2129526","430164252","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824405","G5223.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824404","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5039.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804021","","122.59","1","1590033","321186666","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824404","G5039.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824403","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G3943.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804020","","85.82","1","723585","146164170","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824403","G3943.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824402","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5617.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804019","","88.43","1","757495","153013990","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824402","G5617.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824401","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4950.2","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804018","","210.31","1","2896888","585171376","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824401","G4950.2.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824400","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4736.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804017","","193.66","1","2518428","508722456","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824400","G4736.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824399","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G3851.2","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804016","","83.26","1","744994","150488788","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824399","G3851.2.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824398","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5849.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804015","","104.33","1","952771","192459742","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824398","G5849.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824397","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G6060.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804014","","416.92","1","5402837","1091373074","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824397","G6060.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824396","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5796.2","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804013","","122.68","1","1101643","222531886","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824396","G5796.2.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824395","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample SLKEN0025.0","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804012","","88.85","1","755322","152575044","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824395","SLKEN0025.0.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824394","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5992.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804011","","180.08","1","2329013","470460626","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824394","G5992.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824393","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4583.2","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804010","","133.15","1","1705993","344610586","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824393","G4583.2.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824392","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4649.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804009","","111.52","1","1424723","287794046","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824392","G4649.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824391","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4733.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804008","","107.21","1","1375466","277844132","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824391","G4733.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824390","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5981.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804006","","153.82","1","1408513","284519626","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824390","G5981.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824389","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4763.2","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804007","","107.86","1","1384085","279585170","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824389","G4763.2.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824388","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5649.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804005","","220.16","1","1955113","394932826","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824388","G5649.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824387","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5226.4","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804004","","104.19","1","922486","186342172","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824387","G5226.4.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824386","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4852.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804003","","167.22","1","2190829","442547458","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824386","G4852.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824385","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4861.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804001","","112.37","1","1403010","283408020","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824385","G4861.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824384","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5109.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804002","","214.93","1","1901207","384043814","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824384","G5109.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824383","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4956.2","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS804000","","242.1","1","3340798","674841196","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824383","G4956.2.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824382","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5008.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803999","","240.89","1","2143561","432999322","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824382","G5008.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824381","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G3757.5","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803998","","111","1","941804","190244408","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824381","G3757.5.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824380","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4880.2","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803997","","128.87","1","1198759","242149318","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824380","G4880.2.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824379","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4929.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803995","","219.23","1","1935540","390979080","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824379","G4929.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824378","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4386.3","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803996","","242.86","1","3380992","682960384","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824378","G4386.3.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824377","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4701.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803994","","269.74","1","3808124","769241048","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824377","G4701.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824376","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5998.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803992","","97.95","1","829728","167605056","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824376","G5998.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824375","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5118.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803991","","196.93","1","1792143","362012886","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824375","G5118.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824374","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5585.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803993","","199.26","1","1802834","364172468","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824374","G5585.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824373","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5112.2","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803990","","277.15","1","2522696","509584592","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824373","G5112.2.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824372","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4744.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803989","","164.79","1","2144999","433289798","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824372","G4744.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824371","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4999.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803988","","174.95","1","2241522","452787444","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824371","G4999.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824370","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G3936.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803986","","107.05","1","971053","196152706","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824370","G3936.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824369","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5977.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803985","","252.75","1","3405220","687854440","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824369","G5977.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824368","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G5956.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803987","","146.63","1","1268538","256244676","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824368","G5956.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX824367","Zaire ebolavirus genome sequencing from 2014 outbreak in Sierra Leone: Sample G4700.1","Zaire ebolavirus","Illumina HiSeq 2500","BI","SRP045416","Zaire ebolavirus Genome sequencing","SRS803984","","128.87","1","1668152","336966704","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX824/SRX824367","G4700.1.l1","RNA-Seq","TRANSCRIPTOMIC","cDNA"
